Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,302,300,295,290,285,285,250,-
Market Cap Growth,-,5.24%,17.87%,-,-,-,-,-
Enterprise Value,302,300,295,290,286,285,249,0
PE Ratio,30.03,28.76,17.36,12.58,14.35,15.86,25.42,-
PB Ratio,-30.76,-30.76,-34.06,-27.35,-22.54,-20.01,-11.18,-
Debt / Equity Ratio,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-,-2.10
Current Ratio,9.62,9.62,31.78,93.23,15.14,4.70,5.92,0
Buyback Yield / Dilution,-,-348.61%,-475.00%,-506.94%,-475.00%,-,-,
Total Shareholder Return,-,-348.61%,-475.00%,-506.94%,-475.00%,-,-,
