Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2021-12-31,2021-09-30,2021-06-30,2020-12-31
Market Capitalization,15,-,-,-,-,-,-,-
Enterprise Value,16,1,1,1,0,-,-,0
Debt / Equity Ratio,-31.99,-31.99,-38.70,-278.29,-188.68,-,-,252.53
Current Ratio,0.10,0.10,0.06,0.07,0.01,-,-,0.20
