Metrics,Current,2022-12-31,2022-06-30,2021-12-31,2020-12-31
Market Capitalization,39,26,-,-,-
Enterprise Value,34,11,-0,-1,-1
PE Ratio,-52.51,-52.51,-,-,-
PS Ratio,34.02,18.02,-,-,-
PB Ratio,2.79,1.48,-,-,-
Debt / Equity Ratio,0.03,0.03,1.53,0.99,0.61
Current Ratio,20.92,20.92,1.06,1.20,1.07
