Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,124,150,148,146,145,144,144,143,148
Market Cap Growth,-,4.03%,2.37%,1.76%,-1.51%,-,-,-,-
Enterprise Value,124,150,32,31,30,29,144,143,147
PE Ratio,256.14,256.14,-969.49,-218.17,-160.87,-190.40,-203.14,-,-
PB Ratio,-124.37,-124.37,-209.45,-305.94,-426.79,-1517.67,980.12,386.47,262.14
Current Ratio,-,-,112.46,164.63,140.36,226.78,6.10,7.07,13.00
Buyback Yield / Dilution,-14.25%,-8.20%,-,-,-84.51%,-1062.44%,-,-,-
Total Shareholder Return,-14.25%,-8.20%,-,-,-84.51%,-1062.44%,-,-,-
