Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,297,290,284,286,283,287,-,-
Market Cap Growth,-,1.10%,-,-,-,-,-,-
Enterprise Value,298,291,284,286,283,287,0,0
PE Ratio,30.53,29.36,16.90,17.20,22.34,30.28,-,-
PB Ratio,-24.90,-24.90,-23.13,-25.26,-18.79,-15.72,-,-
Debt / Equity Ratio,-0.09,-0.09,-0.09,-0.09,-,-,20.29,20.29
Current Ratio,1.28,1.28,1.54,1.93,1.16,2.01,0.14,-
Buyback Yield / Dilution,-154.98%,-154.98%,-400.00%,-400.00%,-,-,-,-
Total Shareholder Return,-154.98%,-154.98%,-400.00%,-400.00%,-,-,-,-
