Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,297,293,288,283,283,280,-,-
Market Cap Growth,-,4.72%,-,-,-,-,-,-
Enterprise Value,297,293,287,283,283,280,0,0
PE Ratio,30.32,30.05,40.93,38.38,242.86,-106.32,-,-
PB Ratio,-65.07,-65.07,-85.40,-28.55,-17.70,-14.14,-,-
Debt / Equity Ratio,-0.04,-0.04,-,-,-0.01,-0.01,-26.96,-28.62
Current Ratio,0.09,0.09,0.27,1.08,1.54,2.31,0,-
Buyback Yield / Dilution,-179.79%,-179.79%,-475.00%,-475.00%,-,-,-,-
Total Shareholder Return,-179.79%,-179.79%,-475.00%,-475.00%,-,-,-,-
