Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,126,122,120,119,103,-
Enterprise Value,126,122,119,118,102,0
PE Ratio,176.67,264.36,13424.74,-481.70,-,-
PB Ratio,-40.55,-40.55,-45.05,-47.71,-42.87,-
Debt / Equity Ratio,-0.08,-0.08,-,-,-,51.30
Current Ratio,0.17,0.17,1.65,3.75,6.75,-
Buyback Yield / Dilution,-498.22%,-498.22%,-498.22%,-,-,-
Total Shareholder Return,-498.22%,-498.22%,-498.22%,-,-,-
