Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-08
Market Capitalization,109,262,258,256,255,254,-,-,-
Market Cap Growth,-,3.28%,-,-,-,-,-,-,-
Enterprise Value,109,262,258,256,254,253,0,0,-0
PE Ratio,258.00,251.14,-540.84,-96.52,-99.87,-126.13,-,-,-
PB Ratio,-31.80,-31.80,-33.69,-35.45,-37.45,-40.51,-,-,-
Debt / Equity Ratio,-,-,-,-,-,-,6.19,6.19,6.34
Current Ratio,0.26,0.26,0.56,0.90,1.56,4.09,0.17,0.33,0.72
Buyback Yield / Dilution,-158.82%,-138.53%,-462.66%,-462.66%,-,-,-,-,-
Total Shareholder Return,-158.82%,-138.53%,-462.66%,-462.66%,-,-,-,-,-
