Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,76,228,224,222,169,167,193,-
Market Cap Growth,-,36.24%,15.93%,-,-,-,-,-
Enterprise Value,76,228,224,222,169,167,193,0
PE Ratio,258.25,271.56,-711.71,-293.81,-219.01,-296.63,-3095.65,-
PB Ratio,1201.18,3608.41,453.50,318.14,224.04,173.89,131.94,-
Debt / Equity Ratio,-,-,-,-,-,-,-,4.56
Current Ratio,0.41,0.41,2.30,3.15,5.05,3.63,62.02,-
Buyback Yield / Dilution,-118.54%,-118.54%,-120.07%,-405.29%,-408.74%,-158.79%,-,-
Total Shareholder Return,-118.54%,-118.54%,-120.07%,-405.29%,-408.74%,-158.79%,-,-
