Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Market Capitalization,91,150,148,147,130
Enterprise Value,91,150,148,147,130
PE Ratio,121.64,121.64,286.14,-688.51,-15190.14
PB Ratio,-37.09,-37.09,-36.93,-34.41,7921.88
Debt / Equity Ratio,-,-,-,-,12.17
Current Ratio,0.87,0.87,2.54,9.60,1.07
Buyback Yield / Dilution,9.36%,9.36%,-,-,-
Total Shareholder Return,9.36%,9.36%,-,-,-
