Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,194,298,294,291,260,258,-,-
Market Cap Growth,-,15.89%,-,-,-,-,-,-
Enterprise Value,195,299,294,291,259,257,0,0
PE Ratio,216.60,243.36,-563.35,-301.53,-342.76,-1197.80,-,-
PB Ratio,-36.21,-36.21,-36.28,-37.26,-34.71,-37.12,-,-
Debt / Equity Ratio,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,6.74,6.74
Current Ratio,0.77,0.77,0.89,1.13,1.51,4.08,-,-
Buyback Yield / Dilution,-154.45%,-154.45%,-347.83%,-347.83%,-,-,-,-
Total Shareholder Return,-154.45%,-154.45%,-347.83%,-347.83%,-,-,-,-
