Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,212,210,205,204,203,203,217,-,-
Market Cap Growth,-,3.37%,-5.15%,-,-,-,-,-,-
Enterprise Value,214,211,206,204,203,202,216,0,0
PE Ratio,-213.95,-213.95,-56.71,-48.55,-70.74,-80.94,-461.93,-,-
PB Ratio,-41.97,-41.97,-65.23,-74.30,-141.02,-184.70,237.90,-,-
Debt / Equity Ratio,-0.44,-0.44,-0.08,-0.18,-,-,-,5.37,4.76
Current Ratio,0.06,0.06,0.07,0.17,0.28,0.41,4.39,-,-
Buyback Yield / Dilution,-,-245.50%,-360.21%,-417.74%,-,-,-,-,
Total Shareholder Return,-,-245.50%,-360.21%,-417.74%,-,-,-,-,
