Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,152,148,145,145,143,147,-,-
Market Cap Growth,-,0.89%,-,-,-,-,-,-
Enterprise Value,152,148,145,145,143,146,0,0
PE Ratio,39.04,38.55,-,495.69,-,-77.88,-,-
PB Ratio,-24.88,-24.88,-21.04,-22.47,-19.77,-17.03,-,-
Debt / Equity Ratio,-0.09,-0.09,-0.03,-,-,-,2.51,1.45
Current Ratio,0.03,0.03,0.08,1.18,32.43,3.90,-,-
Buyback Yield / Dilution,-157.67%,-157.67%,-477.30%,-477.30%,-,-,-,-
Total Shareholder Return,-157.67%,-157.67%,-477.30%,-477.30%,-,-,-,-
