Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,304,302,295,289,288,-,-
Enterprise Value,307,305,297,292,291,0,0
PE Ratio,44.17,34.91,59.79,52.64,-,-,-
PB Ratio,-17.50,-17.50,-16.34,-18.45,-14.04,-,-
Debt / Equity Ratio,-0.19,-0.19,-0.19,-0.21,-0.20,9.47,6.51
Current Ratio,2.33,2.33,3.89,4.39,5.24,-,0
Buyback Yield / Dilution,-475.00%,-475.00%,-258.63%,-,-,-,-
Total Shareholder Return,-475.00%,-475.00%,-258.63%,-,-,-,-
