Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,299,299,293,288,288,248,-
Market Cap Growth,-,20.55%,-,-,-,-,-
Enterprise Value,298,298,292,287,287,247,0
PE Ratio,149.43,177.04,-518.47,-187.64,-,-,-
PB Ratio,-40.01,-40.01,-42.67,-45.00,-48.43,-46.38,-
Debt / Equity Ratio,-,-,-,-,-,-,-2.79
Current Ratio,0.70,0.70,1.44,3.10,21.61,151.09,0.00
Buyback Yield / Dilution,-29.78%,-29.78%,-475.36%,-,-,-,-
Total Shareholder Return,-29.78%,-29.78%,-475.36%,-,-,-,-
