Metrics,Current,2022-12-31,2022-06-30,2021-12-31
Market Capitalization,7,5,8,17
Enterprise Value,-2,-4,-6,1
PE Ratio,-2.10,-2.10,-3.35,-15.75
PS Ratio,45.03,33.31,7.47,7.61
PB Ratio,0.51,0.38,0.53,1.02
Debt / Equity Ratio,0.01,0.01,-,-
Current Ratio,35.43,35.43,40.95,44.95
Buyback Yield / Dilution,-18.84%,-18.84%,-18.74%,-
Total Shareholder Return,-18.84%,-18.84%,-18.74%,-
