Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-29
Market Capitalization,117,296,291,288,288,285,-,-,-
Market Cap Growth,-,3.88%,-,-,-,-,-,-,-
Enterprise Value,117,296,291,288,287,284,0,0,0
PE Ratio,27.08,26.33,16.05,19.03,25.83,32.98,-,-,-
PB Ratio,-28.25,-28.25,-28.31,-23.61,-18.14,-15.54,-,-,-
Debt / Equity Ratio,-,-,-,-,-,-,-7.66,10.24,2.72
Current Ratio,0.28,0.28,1.06,1.48,8.54,3.30,-,-,-
Buyback Yield / Dilution,-161.83%,-161.83%,-475.00%,-475.00%,-,-,-,-,-
Total Shareholder Return,-161.83%,-161.83%,-475.00%,-475.00%,-,-,-,-,-
