Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,435,424,416,414,414,412,415,436
Market Cap Growth,-,2.80%,0.41%,-4.95%,-,-,-,-
Enterprise Value,434,424,416,414,413,412,413,435
PE Ratio,24.93,25.56,28.78,29.57,55.25,-498.41,-,-
PB Ratio,-34.20,-34.20,-31.96,-29.31,-24.16,-16.22,-15.85,-15.76
Current Ratio,0.83,0.83,1.03,2.43,6.41,6.34,7.52,9.08
Buyback Yield / Dilution,-58.50%,-58.50%,-,-506.67%,-354.53%,-,-,-
Total Shareholder Return,-58.50%,-58.50%,-,-506.67%,-354.53%,-,-,-
