Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,90,306,292,289,287,285,-,-
Market Cap Growth,-,7.27%,-,-,-,-,-,-
Enterprise Value,90,306,292,289,287,284,0,0
PE Ratio,-173.27,-173.27,-347.38,-341.65,-359.94,-909.47,-,-
PB Ratio,-27.56,-27.56,-33.98,-36.20,-37.37,-39.59,-,-
Debt / Equity Ratio,-,-,-,-,-,-,16.72,7.24
Current Ratio,0.03,0.03,0.38,0.96,1.54,2.78,-,-
Buyback Yield / Dilution,-176.83%,-176.83%,-475.00%,-475.00%,-475.00%,-,-,-
Total Shareholder Return,-176.83%,-176.83%,-475.00%,-475.00%,-475.00%,-,-,-
