Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,127,152,148,148,147,130,-
Market Cap Growth,-,16.92%,-,-,-,-,-
Enterprise Value,9,34,31,148,147,130,0
PE Ratio,-243.19,-243.19,-600.79,-233.01,-433.97,-291595.51,-
PB Ratio,-30.39,-30.39,-36.39,-38.74,-41.86,5284.46,-
Debt / Equity Ratio,-0.02,-0.02,-,-,-,4.98,4.47
Current Ratio,23.62,23.62,28.45,2.77,6.74,1.08,-
Buyback Yield / Dilution,-493.50%,-418.41%,-418.38%,-418.38%,-,-,-
Total Shareholder Return,-493.50%,-418.41%,-418.38%,-418.38%,-,-,-
