Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-30
Market Capitalization,171,495,486,480,464,468,-,-,-
Market Cap Growth,-,5.78%,-,-,-,-,-,-,-
Enterprise Value,171,495,486,480,464,468,0,0,0
PE Ratio,124.44,112.32,273.73,2933.49,-8484.25,-16284.12,-,-,-
PB Ratio,-33.49,-33.49,-33.18,-34.16,-32.58,-32.90,-,-,-
Debt / Equity Ratio,-,-,-,-,-,-,6.00,5.95,1.41
Current Ratio,0.78,0.78,1.49,2.29,4.10,13.33,-,0,0.34
Buyback Yield / Dilution,-149.89%,-149.89%,-364.46%,-358.55%,-,-,-,-,-
Total Shareholder Return,-149.89%,-149.89%,-364.46%,-358.55%,-,-,-,-,-
