Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,48,45,151,150,149,129,-
Market Cap Growth,-,-65.01%,-,-,-,-,-
Enterprise Value,49,46,151,150,149,128,0
PE Ratio,-13.87,-13.87,-66.25,-102.40,-184.79,-457.89,-
PB Ratio,-6.06,-6.06,-27.07,-33.12,-38.67,-38.55,-
Debt / Equity Ratio,-0.14,-0.14,-0.01,-0.01,-0.01,-0.01,10.09
Current Ratio,0.03,0.03,0.07,0.64,2.27,6.62,0.02
Buyback Yield / Dilution,-220.05%,-220.05%,-497.28%,-497.28%,-,-,-
Total Shareholder Return,-220.05%,-220.05%,-497.28%,-497.28%,-,-,-
