Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,95,134,112,110,130,-,-
Enterprise Value,95,134,112,110,129,0,0
PE Ratio,-309.93,-309.93,-504.53,-246.11,-295.87,-,-
PB Ratio,-31.30,-31.30,-35.83,-37.63,-44.48,-,-
Debt / Equity Ratio,-,-,-,-,-,27.19,4.84
Current Ratio,0.30,0.30,1.72,4.21,13.46,1.02,-
Buyback Yield / Dilution,-420.01%,-420.01%,-439.41%,-439.41%,-,-,-
Total Shareholder Return,-420.01%,-420.01%,-439.41%,-439.41%,-,-,-
