Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,93,"2,054",90,89,89,88,-,-
Market Cap Growth,-,2231.20%,-,-,-,-,-,-
Enterprise Value,73,"2,034",90,89,88,19,0,0
PE Ratio,459319.09,459319.09,-332.62,-284.18,-325.10,-584.34,-,-
PB Ratio,-901.69,-901.69,-45.26,-49.48,-51.40,-54.97,-,-
Debt / Equity Ratio,-,-,-,-,-,-,3.52,2.85
Current Ratio,7.72,7.72,0.77,2.68,4.14,31.98,-,-
Buyback Yield / Dilution,-219.16%,-195.49%,-501.73%,-501.73%,-,-,-,-
Total Shareholder Return,-219.16%,-195.49%,-501.73%,-501.73%,-,-,-,-
