Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,960,953,932,907,899,912,-
Market Cap Growth,-,4.42%,-,-,-,-,-
Enterprise Value,960,952,932,907,898,911,0
PE Ratio,46.52,46.14,41.40,-,-,-,-
PB Ratio,-36.09,-36.09,-35.40,-32.28,-29.62,-28.42,-
Debt / Equity Ratio,-,-,-,-,-,-,15.00
Current Ratio,1.14,1.14,2.07,2.81,2.51,2.46,0
Buyback Yield / Dilution,-8.70%,-8.70%,-400.55%,-,-,-,-
Total Shareholder Return,-8.70%,-8.70%,-400.55%,-,-,-,-
