Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-07-27
Market Capitalization,79,183,180,179,178,178,-,-
Market Cap Growth,-,3.14%,-,-,-,-,-,-
Enterprise Value,78,183,179,178,177,177,0,0
PE Ratio,27.13,27.08,22.40,28.74,28.96,44.75,-,-
PB Ratio,-34.96,-34.96,-24.19,-20.69,-20.44,-16.30,-,-
Debt / Equity Ratio,-,-,-,-,-,-,8.82,4.41
Current Ratio,0.47,0.47,0.65,1.23,6.08,49.53,0.57,-
Buyback Yield / Dilution,-159.27%,-159.27%,-350.09%,-400.00%,-,-,-,-
Total Shareholder Return,-159.27%,-159.27%,-350.09%,-400.00%,-,-,-,-
