Metrics,Current,2023-03-31,2022-12-31,2022-08-31
Market Capitalization,95,94,81,-
Enterprise Value,95,94,81,0
PE Ratio,-,-,-655.91,-
PB Ratio,-50.55,-50.55,-46.60,-
Debt / Equity Ratio,-,-,-,7.08
Current Ratio,70.12,70.12,19.67,1.14
