Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,363,354,348,345,344,346
Market Cap Growth,-,2.39%,-,-,-,-
Enterprise Value,362,354,347,344,344,344
PE Ratio,257.75,243.64,3419.62,-718.89,-,-2913.71
PB Ratio,-40.39,-40.39,-41.65,-43.82,-43.84,-46.04
Current Ratio,0.47,0.47,1.09,2.22,4.10,2.63
Buyback Yield / Dilution,-222.32%,-222.32%,-302.40%,-,-,-
Total Shareholder Return,-222.32%,-222.32%,-302.40%,-,-,-
