Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,120,117,115,116,-,-
Enterprise Value,120,117,115,116,0,0
PE Ratio,-31.01,-31.01,-167.12,-,-,-
PB Ratio,-14.49,-14.49,-26.80,-29.49,-,-
Debt / Equity Ratio,-0.02,-0.02,-0.01,-,-14.79,15.65
Current Ratio,0.01,0.01,0.07,0.47,0.96,1.02
Buyback Yield / Dilution,-226.10%,-307.62%,-,-,-,-
Total Shareholder Return,-226.10%,-307.62%,-,-,-,-
