Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,448,445,437,426,422,423,312
Market Cap Growth,-,5.19%,40.11%,-,-,-,-
Enterprise Value,447,444,435,425,421,422,310
PE Ratio,61.76,61.23,133.83,1028.12,-738.72,-,-
PB Ratio,-42.80,-42.80,-43.28,-43.46,-44.25,-45.07,-34.82
Current Ratio,10.69,10.69,43.19,34.81,35.05,7.64,12.74
Buyback Yield / Dilution,-,-236.18%,-468.96%,-582.75%,-,-,
Total Shareholder Return,-,-236.18%,-468.96%,-582.75%,-,-,
