Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,26,60,59,58,58,58,52,-
Market Cap Growth,-,3.83%,12.26%,-,-,-,-,-
Enterprise Value,26,61,59,58,58,57,52,0
PE Ratio,-60.43,-60.43,-59.96,-78.61,-150.56,-234.02,-,-
PB Ratio,-26.68,-26.68,-29.70,-38.82,-50.93,-57.61,-60.23,-
Debt / Equity Ratio,-0.22,-0.22,-0.25,-,-,-,-,8.73
Current Ratio,0.05,0.05,0.22,0.83,14.18,8.42,7.76,0.06
Buyback Yield / Dilution,-79.36%,-71.26%,-22.23%,-484.97%,-484.97%,-,-,-
Total Shareholder Return,-79.36%,-71.26%,-22.23%,-484.97%,-484.97%,-,-,-
