Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-21
Market Capitalization,57,96,94,94,93,92,71,-
Market Cap Growth,-,3.67%,32.62%,-,-,-,-,-
Enterprise Value,57,96,94,94,93,92,70,0
PE Ratio,1045.00,2034.56,-315.17,-183.49,-254.71,-333.51,-,-
PB Ratio,-77.13,-77.13,41.32,17.90,11.05,8.00,14.81,-
Debt / Equity Ratio,-,-,-,-,-,-,-,86.98
Current Ratio,0.03,0.03,0.42,0.77,2.02,2.53,6.49,0.87
Buyback Yield / Dilution,-96.95%,-96.95%,-199.40%,-232.40%,-227.79%,-,-,-
Total Shareholder Return,-96.95%,-96.95%,-199.40%,-232.40%,-227.79%,-,-,-
