Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-23
Market Capitalization,160,154,151,150,149,148,-,-
Market Cap Growth,-,4.03%,-,-,-,-,-,-
Enterprise Value,159,153,150,149,148,147,0,0
PE Ratio,4331.96,4166.61,-275.93,-204.95,-247.71,-356.66,-,-
PB Ratio,1326.45,1275.81,228.35,190.61,141.59,119.25,-,-
Debt / Equity Ratio,-,-,-,-,-,-,10.90,2.04
Current Ratio,-,-,-,-,-,-,0.09,-
Buyback Yield / Dilution,-144.41%,-144.41%,-502.00%,-502.00%,-,-,-,-
Total Shareholder Return,-144.41%,-144.41%,-502.00%,-502.00%,-,-,-,-
