Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-10-13
Market Capitalization,283,275,269,267,266,192,-
Market Cap Growth,-,42.97%,-,-,-,-,-
Enterprise Value,285,277,269,267,266,191,0
PE Ratio,263.38,270.70,-1135.94,-474.08,-,-817.07,-
PB Ratio,-139.58,-139.58,637.24,334.18,295.19,170.50,-
Debt / Equity Ratio,-1.05,-1.05,-,-,-,-,1.30
Current Ratio,0.14,0.14,1.17,3.55,4.65,5.45,-
Buyback Yield / Dilution,-192.40%,-192.40%,-588.49%,-,-,-,-
Total Shareholder Return,-192.40%,-192.40%,-588.49%,-,-,-,-
