Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,273,266,259,256,256,248,-,-
Market Cap Growth,-,7.40%,-,-,-,-,-,-
Enterprise Value,272,265,258,255,255,246,0,0
PE Ratio,29.37,28.62,40.21,67.49,165.45,-172.62,-,-
PB Ratio,-31.84,-31.84,-35.89,-28.72,-23.64,-17.04,-,-
Debt / Equity Ratio,-0.03,-0.03,-0.03,-0.02,-0.01,0.00,12.99,12.96
Current Ratio,1.31,1.31,13.15,13.89,23.61,3.88,-,0.11
Buyback Yield / Dilution,-207.65%,-207.65%,-431.01%,-431.01%,-,-,-,-
Total Shareholder Return,-207.65%,-207.65%,-431.01%,-431.01%,-,-,-,-
