Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,53,51,78,75,74,74,67,-
Market Cap Growth,-,-30.57%,16.30%,-,-,-,-,-
Enterprise Value,53,51,77,75,74,73,66,0
PE Ratio,22.83,-1098.61,-479.69,-190.82,-219.04,-526.24,-761.44,-
PB Ratio,-35.01,-35.01,-60.54,41.47,15.02,9.24,6.17,-
Debt / Equity Ratio,-,-,-,-,-,-,-,-3.34
Current Ratio,1.80,1.80,3.53,5.21,8.73,17.15,33.38,-
Buyback Yield / Dilution,-122.80%,-122.80%,-269.03%,-420.14%,-446.26%,-721.15%,-19526.74%,-
Total Shareholder Return,-122.80%,-122.80%,-269.03%,-420.14%,-446.26%,-721.15%,-19526.74%,-
