Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,132,331,326,322,321,323,-,-
Market Cap Growth,-,2.39%,-,-,-,-,-,-
Enterprise Value,132,331,326,321,320,322,0,0
PE Ratio,-71.50,-71.50,-72.54,-102.48,-107.28,-1409.18,-,-
PB Ratio,-17.58,-17.58,-19.77,-22.75,-23.50,-29.71,-,-
Debt / Equity Ratio,-0.03,-0.03,-0.02,-,-,-,8.74,0.04
Current Ratio,0.03,0.03,0.07,0.28,0.38,6.91,-,-
Buyback Yield / Dilution,-139.86%,-139.86%,-358.71%,-358.71%,-,-,-,-
Total Shareholder Return,-139.86%,-139.86%,-358.71%,-358.71%,-,-,-,-
