Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,414,454,446,444,445,441,449,450,363
Market Cap Growth,-,2.89%,-0.71%,-1.42%,22.70%,-,-,-,-
Enterprise Value,454,454,446,443,445,441,448,449,361
PE Ratio,242.31,242.31,-313.04,-360.22,-171.42,-77.60,-117.54,-,-
PB Ratio,-58.45,-58.45,-71.97,-27.44,-28.30,-28.56,-33.13,-31.24,-27.72
Current Ratio,0.02,0.02,0.06,0.13,0.16,0.21,0.50,0.72,3.16
Buyback Yield / Dilution,-14.92%,-1.43%,-,-,-147.54%,-698.39%,-,-,-
Total Shareholder Return,-14.92%,-1.43%,-,-,-147.54%,-698.39%,-,-,-
