Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,240,294,289,286,249,245,-
Market Cap Growth,-,20.05%,-,-,-,-,-
Enterprise Value,241,295,289,286,248,245,0
PE Ratio,21.75,21.42,22.86,33.09,48.17,-413.97,-
PB Ratio,-232.77,-232.77,-896.46,-25.66,-17.04,-12.05,-
Debt / Equity Ratio,-0.59,-0.59,-0.62,-,-,-,12.94
Current Ratio,0.07,0.07,0.23,0.78,1.94,3.38,0.03
Buyback Yield / Dilution,-226.49%,-226.49%,-475.00%,-475.00%,-,-,-
Total Shareholder Return,-226.49%,-226.49%,-475.00%,-475.00%,-,-,-
