Metrics,Current,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,300,289,285,285,250,-
Enterprise Value,300,289,285,285,248,0
PE Ratio,-,-,-,-,107.50,-
PB Ratio,-112.98,-112.98,-26.29,-20.53,-10.31,-
Debt / Equity Ratio,-,-,-,-,-,2.67
Current Ratio,0.71,0.71,1.17,1.61,1.99,0.03
Buyback Yield / Dilution,-475.00%,-475.00%,-475.00%,-,-,-
Total Shareholder Return,-475.00%,-475.00%,-475.00%,-,-,-
