Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,366,357,352,347,346,350
Market Cap Growth,-,2.09%,-,-,-,-
Enterprise Value,365,357,351,346,345,349
PE Ratio,172.67,158.67,1090.78,-410.60,-,-1648.11
PB Ratio,-34.91,-34.91,-36.40,-37.43,-38.18,-40.49
Current Ratio,0.54,0.54,1.27,1.73,2.58,14.72
Buyback Yield / Dilution,-160.68%,-160.68%,-375.08%,-,-,-
Total Shareholder Return,-160.68%,-160.68%,-375.08%,-,-,-
