Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,56,154,151,132,149,151,-
Market Cap Growth,-,1.67%,-,-,-,-,-
Enterprise Value,57,154,151,132,149,151,0
PE Ratio,534.50,2854.28,-1048.46,-346.92,-,-491.20,-
PB Ratio,-31.26,-31.26,-37.81,-37.43,-42.43,-43.81,-
Debt / Equity Ratio,-0.05,-0.05,-0.02,-0.03,-0.03,-0.03,9.18
Current Ratio,0.33,0.33,1.13,2.91,4.54,4.75,-
Buyback Yield / Dilution,-13.42%,-13.42%,-65.71%,-,-,-,-
Total Shareholder Return,-13.42%,-13.42%,-65.71%,-,-,-,-
