Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,671,634,624,617,624,630,629,-,-
Market Cap Growth,-,0.71%,-0.71%,-,-,-,-,-,-
Enterprise Value,667,631,622,614,621,627,625,0,0
PE Ratio,174.67,161.60,1007.14,-444.10,-432.26,-596.10,-,-,-
PB Ratio,-45.96,-45.96,-46.54,-45.65,-45.99,-47.78,-49.64,-,-
Debt / Equity Ratio,-,-,-,-,-,-,-,20.83,20.83
Current Ratio,2.70,2.70,3.42,6.14,8.49,13.46,44.96,-,-
Buyback Yield / Dilution,-54.98%,-54.98%,-11.06%,-358.42%,-539.50%,-,-,-,-
Total Shareholder Return,-54.98%,-54.98%,-11.06%,-358.42%,-539.50%,-,-,-,-
