Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,123,119,117,116,102,-
Enterprise Value,123,119,116,116,101,0
PE Ratio,-158.58,-158.58,-141.79,-152.03,-362.07,-
PB Ratio,-37.46,-37.46,-45.31,-54.23,-60.61,-
Debt / Equity Ratio,-0.04,-0.04,-,-,-,0.79
Current Ratio,0.17,0.17,0.66,1.98,6.61,1.50
Buyback Yield / Dilution,-320.66%,-365.74%,-132.63%,-132.63%,-42.20%,-
Total Shareholder Return,-320.66%,-365.74%,-132.63%,-132.63%,-42.20%,-
