Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,139,135,132,131,131,130,-
Market Cap Growth,-,4.19%,-,-,-,-,-
Enterprise Value,140,136,132,131,131,129,0
PE Ratio,530.00,-916.12,-141.61,-210.24,-,-,-
PB Ratio,-31.54,-31.54,-35.67,-38.75,-40.02,-41.52,-
Debt / Equity Ratio,-0.31,-0.31,-0.02,-,-,-,6.67
Current Ratio,0.05,0.05,0.12,0.92,4.71,4.32,-
Buyback Yield / Dilution,-184.56%,-184.56%,-496.49%,-,-,-,-
Total Shareholder Return,-184.56%,-184.56%,-496.49%,-,-,-,-
