Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,155,423,417,410,410,406,-
Market Cap Growth,-,4.17%,-,-,-,-,-
Enterprise Value,155,423,417,410,410,406,0
PE Ratio,45.22,45.26,-,54.67,-,-1132.65,-
PB Ratio,-25.38,-25.38,-27.48,-29.17,-23.39,-18.58,-
Debt / Equity Ratio,-0.03,-0.03,-0.01,-0.01,-,-,5.54
Current Ratio,0.14,0.14,0.16,0.25,0.99,1.54,-
Buyback Yield / Dilution,-169.72%,-169.72%,-374.97%,-395.86%,-,-,-
Total Shareholder Return,-169.72%,-169.72%,-374.97%,-395.86%,-,-,-
