Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,338,332,324,321,321,326,-,-
Market Cap Growth,-,1.72%,-,-,-,-,-,-
Enterprise Value,337,332,324,320,320,325,0,0
PE Ratio,25.68,25.01,19.74,20.83,49.01,50.86,-,-
PB Ratio,-32.63,-32.63,-28.81,-28.95,-16.28,-16.44,-,-
Debt / Equity Ratio,-,-,-,-,-,-,-7.58,-25.46
Current Ratio,1.24,1.24,2.38,4.52,5.73,10.43,-,-
Buyback Yield / Dilution,-202.92%,-202.92%,-427.55%,-427.55%,-,-,-,-
Total Shareholder Return,-202.92%,-202.92%,-427.55%,-427.55%,-,-,-,-
