Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Market Capitalization,134,133,130,128,90,-
Enterprise Value,134,134,129,127,89,0
PE Ratio,115.83,115.83,241.59,-,-,-
PB Ratio,-34.03,-34.03,-46.44,-49.27,-37.10,-
Debt / Equity Ratio,-0.25,-0.25,-,-,-,11.45
Current Ratio,0.37,0.37,2.08,7.94,20.18,0.33
Buyback Yield / Dilution,-422.87%,-422.87%,-279.63%,-,-,-
Total Shareholder Return,-422.87%,-422.87%,-279.63%,-,-,-
