Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30
Market Capitalization,138,137,135,132,-
Enterprise Value,138,136,135,131,0
PE Ratio,174.83,455.51,359.91,-,-
PB Ratio,-36.71,-36.71,-47.59,-49.45,-
Debt / Equity Ratio,-,-,-,-,4.82
Current Ratio,0.58,0.58,1.45,2.94,-
