Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2021-12-31
Market Capitalization,205,-,-,-,-
Enterprise Value,205,0,0,0,0
Debt / Equity Ratio,-4.56,-4.56,7.92,5.40,-1.98
Current Ratio,0.01,0.01,0.00,0.00,0.11
