Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,140,136,133,134,106,117,-,-
Market Cap Growth,-,16.21%,-,-,-,-,-,-
Enterprise Value,140,136,133,133,105,116,0,-
PE Ratio,-187.30,-187.30,-194.54,-161.74,-,-794.78,-,-
PB Ratio,-30.37,-30.37,-39.15,-37.72,-34.68,-40.87,-,-
Debt / Equity Ratio,-,-,-,-,-,-,2.21,0.05
Current Ratio,0.14,0.14,0.83,0.98,4.23,4.18,-,-
Buyback Yield / Dilution,-18.69%,-18.26%,-19.02%,-,-,-,-,-
Total Shareholder Return,-18.69%,-18.26%,-19.02%,-,-,-,-,-
