Metrics,Current,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-06
Market Capitalization,162,149,147,128,130,-,-,-
Enterprise Value,162,149,147,128,129,0,-,0
PE Ratio,-,-,-,-,-414.37,-,-,-
PB Ratio,-34.47,-34.47,-37.97,-34.50,-40.89,-,-,-
Debt / Equity Ratio,-0.04,-0.04,-,-,-,-3.41,-,2.01
Current Ratio,0.27,0.27,1.04,-,4.26,0.01,-,0
Buyback Yield / Dilution,-495.60%,-495.60%,-495.60%,-,-,-,-,-
Total Shareholder Return,-495.60%,-495.60%,-495.60%,-,-,-,-,-
