Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
Market Capitalization,"2,126","1,978","1,838","1,596","1,653","1,985","2,488","2,382","2,190","1,730","1,674","1,143","1,167","1,111","1,417","1,043","1,161","1,014",692,648,719,836,-,-,-,-,-,-
Market Cap Growth,-,-0.34%,-26.11%,-33.02%,-24.50%,14.70%,48.60%,108.40%,87.60%,55.80%,18.16%,9.59%,0.52%,9.56%,104.65%,61.01%,61.51%,21.30%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"3,053","2,926","2,785","2,529","2,628","3,007","3,546","2,951","2,825","2,423","2,420","1,903","1,969","1,962","2,304","1,970","1,336","1,217",910,891,992,"1,134",470,-,-,-,402,297
PE Ratio,8.86,7.80,6.67,5.45,5.62,6.98,8.94,9.04,8.93,7.85,7.88,5.86,7.05,8.22,15.32,15.16,18.31,14.97,10.87,10.62,14.90,26.17,-,-,-,-,-,-
PS Ratio,2.55,2.39,2.15,1.81,1.83,2.19,2.79,2.77,2.66,2.21,2.16,1.44,1.42,1.52,2.31,2.13,3.03,2.56,1.68,1.53,1.72,2.02,-,-,-,-,-,-
PB Ratio,2.01,1.89,1.73,1.50,1.59,2.01,2.68,2.75,2.68,2.26,2.37,1.73,1.90,1.91,2.63,2.06,2.38,2.16,1.52,1.47,1.71,2.10,-,-,-,-,-,-
Debt / Equity Ratio,0.94,0.94,0.93,0.94,0.98,1.08,1.21,0.73,0.82,0.94,1.09,1.24,1.39,1.53,1.72,1.99,0.55,0.57,0.59,0.61,0.68,0.78,2.09,-,-,-,1.26,1.25
Dividend Yield,3.37%,1.13%,0.96%,1.13%,1.10%,0.93%,0.51%,0.47%,0.41%,0.39%,0.31%,0.39%,0.31%,0.33%,0.26%,0.35%,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,28.80%,43.80%,32.50%,23.60%,21.60%,24.00%,16.70%,13.80%,11.80%,9.40%,8.60%,7.30%,7.60%,6.00%,8.90%,13.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-
Buyback Yield / Dilution,5.33%,5.33%,4.65%,2.94%,1.75%,0.62%,-0.48%,-0.84%,-1.31%,0.33%,0.27%,0.32%,0.43%,-2.86%,-3.39%,-2.51%,-1.92%,-9.05%,-19.72%,-20.30%,-22.29%,-12.83%,-10.21%,-18.43%,-,-,-,-
Total Shareholder Return,8.73%,6.46%,5.61%,4.06%,2.85%,1.54%,0.03%,-0.37%,-0.91%,0.71%,0.57%,0.70%,0.74%,-2.53%,-3.13%,-2.16%,-1.92%,-9.05%,-19.72%,-20.30%,-22.29%,-12.83%,-10.21%,-18.43%,-,-,-,-
