Metrics,Current,2022-09-30,2022-06-30,2021-12-31
Market Capitalization,90,-,-,-
Enterprise Value,91,0,0,0
Debt / Equity Ratio,-9.02,-9.02,-9.53,70.72
Current Ratio,0.12,0.12,0.12,0.38
