Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,222,221,217,214,211,210,186,-
Market Cap Growth,-,4.82%,16.39%,-,-,-,-,-
Enterprise Value,222,220,216,213,211,209,184,0
PE Ratio,147.29,132.16,564.33,-,-280.90,-,-882.23,-
PB Ratio,-37.22,-37.22,-38.69,-40.97,-41.35,-42.86,-41.57,-
Debt / Equity Ratio,-,-,-,-,-,-,-,1.85
Current Ratio,0.34,0.34,1.30,6.20,9.04,6.63,4.14,-
Buyback Yield / Dilution,-309.09%,-,-309.09%,-475.00%,-475.00%,-,-,-
Total Shareholder Return,-309.09%,-,-309.09%,-475.00%,-475.00%,-,-,-
