Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-11-02
Market Capitalization,392,385,378,376,374,-,-
Enterprise Value,392,384,377,375,372,0,-0
PE Ratio,261.75,248.02,1232.55,-,-,-,-
PB Ratio,-34.18,-34.18,-30.30,-28.13,-27.94,-,-
Debt / Equity Ratio,-,-,-,-,-,-18.19,3.13
Current Ratio,0.04,0.04,4.23,7.42,7.26,0.08,1.32
Buyback Yield / Dilution,-380.27%,-451.32%,-451.97%,-,-,-,-
Total Shareholder Return,-380.27%,-451.32%,-451.97%,-,-,-,-
