Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,94,91,89,-,-,-
Enterprise Value,94,91,89,0,0,0
PE Ratio,152.31,152.31,2019.14,-,-,-
PB Ratio,-43.64,-43.64,-45.30,-,-,-
Debt / Equity Ratio,-,-,-,-7.92,-7.60,-12.92
Current Ratio,5.10,5.10,50.23,-,-,0.22
Buyback Yield / Dilution,-197.53%,-197.53%,-,-,-,-
Total Shareholder Return,-197.53%,-197.53%,-,-,-,-
