Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,284,277,272,267,248,250,-
Market Cap Growth,-,10.50%,-,-,-,-,-
Enterprise Value,283,276,271,267,247,248,0
PE Ratio,21.43,21.61,13.32,13.43,13.45,23.35,-
PB Ratio,-31.75,-31.75,-27.20,-28.11,-23.17,-13.60,-
Debt / Equity Ratio,-,-,-,-,-0.02,-0.01,10.23
Current Ratio,4.01,4.01,6.93,9.37,2.14,1.69,-
Buyback Yield / Dilution,-220.70%,-182.84%,-439.06%,-331.25%,-,-,-
Total Shareholder Return,-220.70%,-182.84%,-439.06%,-331.25%,-,-,-
