Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,398,392,386,378,373,372,306,-
Market Cap Growth,-,5.39%,26.00%,-,-,-,-,-
Enterprise Value,398,393,386,378,373,372,305,0
PE Ratio,33.13,32.18,23.71,15.37,14.85,19.24,21.92,-
PB Ratio,-21.83,-21.83,-24.13,-19.76,-21.74,-16.59,-11.02,-
Debt / Equity Ratio,-0.02,-0.02,-0.02,-0.01,-0.01,-,-,-17.45
Current Ratio,0.34,0.34,0.52,0.80,0.96,1.06,1.15,-
Buyback Yield / Dilution,-,-185.93%,-500.00%,-500.00%,-,-,-,
Total Shareholder Return,-,-185.93%,-500.00%,-500.00%,-,-,-,
