Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,105,357,349,346,345,342,-,-
Market Cap Growth,-,4.23%,-,-,-,-,-,-
Enterprise Value,104,356,349,346,344,341,0,0
PE Ratio,24.34,24.89,16.55,20.56,22.51,36.18,-,-
PB Ratio,-29.74,-29.74,-28.33,-22.56,-20.95,-15.32,-,-
Debt / Equity Ratio,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,27.30,8.05
Current Ratio,0.30,0.30,0.77,1.01,1.37,3.09,0.01,-
Buyback Yield / Dilution,-142.42%,-142.42%,-400.00%,-590.00%,-,-,-,-
Total Shareholder Return,-142.42%,-142.42%,-400.00%,-590.00%,-,-,-,-
