Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,302,294,288,285,283,252,-
Market Cap Growth,-,16.43%,-,-,-,-,-
Enterprise Value,64,56,52,285,284,252,0
PE Ratio,139.26,139.26,1240.28,-448.96,-424.87,-,-
PB Ratio,-36.08,-36.08,-36.96,-37.97,-39.22,-36.78,-
Debt / Equity Ratio,-0.07,-0.07,-0.07,-0.04,-0.04,-0.04,14.31
Current Ratio,27.01,27.01,27.14,1.87,2.16,2.81,-
Buyback Yield / Dilution,-222.52%,-222.52%,-475.00%,-475.00%,-,-,-
Total Shareholder Return,-222.52%,-222.52%,-475.00%,-475.00%,-,-,-
