Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,116,222,218,216,187,189
Market Cap Growth,-,17.34%,-,-,-,-
Enterprise Value,115,221,218,215,186,188
PE Ratio,17.73,17.26,-,-,-,114.07
PB Ratio,-401.13,-401.13,-179.14,-30.43,-19.65,-10.99
Current Ratio,0.73,0.73,0.98,1.55,1.92,3.42
Buyback Yield / Dilution,-267.51%,-267.51%,-475.00%,-,-,-
Total Shareholder Return,-267.51%,-267.51%,-475.00%,-,-,-
