Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,362,352,344,341,343,339,352,-
Market Cap Growth,-,3.71%,-2.30%,-,-,-,-,-
Enterprise Value,361,351,343,340,341,337,350,0
PE Ratio,12.34,12.04,18.78,21.74,114.82,-35.88,-,-
PB Ratio,-23.32,-23.32,-30.22,-22.79,-12.59,-8.56,-11.65,-
Debt / Equity Ratio,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00,-10.98
Current Ratio,2.04,2.04,2.45,2.87,4.10,8.97,13.53,0.13
Buyback Yield / Dilution,-78.07%,-78.07%,-73.02%,-475.00%,-6800.00%,-,-,-
Total Shareholder Return,-78.07%,-78.07%,-73.02%,-475.00%,-6800.00%,-,-,-
