Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,244,542,531,523,516,515,220,-
Market Cap Growth,-,5.22%,141.27%,-,-,-,-,-
Enterprise Value,244,542,530,522,515,514,219,0
PE Ratio,48.23,88.30,45.59,48.14,53.36,-,-,-
PB Ratio,-49.54,-49.54,-61.76,-51.77,-51.13,-44.73,-12.69,-
Debt / Equity Ratio,-0.02,-0.02,-,-,-,-,-,-2.01
Current Ratio,0.52,0.52,2.40,3.97,5.00,7.31,10.00,-
Buyback Yield / Dilution,-706.67%,21.21%,-265.55%,-475.00%,-,-,-,-
Total Shareholder Return,-706.67%,21.21%,-265.55%,-475.00%,-,-,-,-
